"Station Name","HOPEVILLE"
"Province","ONTARIO"
"Latitude","44.08"
"Longitude","-80.57"
"Elevation","479.50"
"Climate Identifier","6113510"
"WMO Identifier",""
"TC Identifier",""

"Legend"
"B","More than one occurrence and estimated"
"E","Estimated"
"M","Missing"
"S","More than one occurrence"
"T","Trace"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"

"Date/Time","Year","Month","Mean Max Temp (°C)","Mean Max Temp Flag","Mean Min Temp (°C)","Mean Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Extr Max Temp (°C)","Extr Max Temp Flag","Extr Min Temp (°C)","Extr Min Temp Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow Grnd Last Day (cm)","Snow Grnd Last Day Flag","Dir of Max Gust (10's deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"1947-01","1947","01","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1947-02","1947","02","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1947-03","1947","03","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1947-04","1947","04","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1947-05","1947","05","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1947-06","1947","06","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1947-07","1947","07","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1947-08","1947","08","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1947-09","1947","09","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1947-10","1947","10","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1947-11","1947","11","","","","","","","","","","","28.7","","43.2","","71.9","","13","",,"",,""
"1947-12","1947","12","","","","","","","","","","","26.7","","41.9","","68.6","","30","",,"",,""
"1948-01","1948","01","","","","","","","","","","","1.0","","36.8","","37.8","","43","",,"",,""
"1948-02","1948","02","","","","","","","","","","","38.6","","27.2","","65.8","","20","",,"",,""
"1948-03","1948","03","","","","","","","","","","","112.3","","23.6","","135.9","","","M",,"",,""
"1948-04","1948","04","","","","","","","","","","","59.4","","2.0","","61.5","","","M",,"",,""
"1948-05","1948","05","","","","","","","","","","","45.7","","0.5","","46.2","","","M",,"",,""
"1948-06","1948","06","","","","","","","","","","","79.5","","0.0","","79.5","","","M",,"",,""
"1948-07","1948","07","","","","","","","","","","","119.1","","0.0","","119.1","","","M",,"",,""
"1948-08","1948","08","","","","","","","","","","","26.9","","0.0","","26.9","","","M",,"",,""
"1948-09","1948","09","","","","","","","","","","","48.8","","0.0","","48.8","","","M",,"",,""
"1948-10","1948","10","","","","","","","","","","","74.7","","9.1","","83.8","","","M",,"",,""
"1948-11","1948","11","","","","","","","","","","","99.1","","3.0","","102.1","","3","",,"",,""
"1948-12","1948","12","","","","","","","","","","","7.9","","72.4","","80.3","","30","",,"",,""
"1949-01","1949","01","","","","","","","","","","","24.9","","55.9","","80.8","","30","",,"",,""
"1949-02","1949","02","","","","","","","","","","","32.5","","48.3","","80.8","","152","",,"",,""
"1949-03","1949","03","","","","","","","","","","","35.6","","50.8","","86.4","","","M",,"",,""
"1949-04","1949","04","","","","","","","","","","","48.5","","1.3","","49.8","","","M",,"",,""
"1949-05","1949","05","","","","","","","","","","","33.0","","0.0","","33.0","","","M",,"",,""
"1949-06","1949","06","","","","","","","","","","","60.5","","0.0","","60.5","","","M",,"",,""
"1949-07","1949","07","","","","","","","","","","","55.9","","0.0","","55.9","","","M",,"",,""
"1949-08","1949","08","","","","","","","","","","","63.2","","0.0","","63.2","","","M",,"",,""
"1949-09","1949","09","","","","","","","","","","","86.9","","0.0","","86.9","","","M",,"",,""
"1949-10","1949","10","","","","","","","","","","","74.9","","0.0","T","74.9","","","M",,"",,""
"1949-11","1949","11","","","","","","","","","","","31.5","","27.9","","59.4","","15","",,"",,""
"1949-12","1949","12","","","","","","","","","","","97.3","","45.7","","143.0","","0","",,"",,""
"1950-01","1950","01","","","","","","","","","","","81.0","","33.0","","114.0","","5","",,"",,""
"1950-02","1950","02","","","","","","","","","","","17.3","","64.8","","82.0","","38","",,"",,""
"1950-03","1950","03","","","","","","","","","","","21.8","","38.1","","59.9","","10","",,"",,""
"1950-04","1950","04","","","","","","","","","","","50.5","","26.9","","77.5","","","M",,"",,""
"1950-05","1950","05","","","","","","","","","","","36.1","","0.0","","36.1","","","M",,"",,""
"1950-06","1950","06","","","","","","","","","","","125.0","","0.0","","125.0","","","M",,"",,""
"1950-07","1950","07","","","","","","","","","","","133.1","","0.0","","133.1","","","M",,"",,""
"1950-08","1950","08","","","","","","","","","","","49.3","","0.0","","49.3","","","M",,"",,""
"1950-09","1950","09","","","","","","","","","","","41.1","","0.0","","41.1","","","M",,"",,""
"1950-10","1950","10","","","","","","","","","","","63.2","","0.0","","63.2","","","M",,"",,""
"1950-11","1950","11","","","","","","","","","","","55.1","","71.1","","126.2","","25","",,"",,""
"1950-12","1950","12","","","","","","","","","","","66.0","","38.1","","104.1","","20","",,"",,""
"1951-01","1951","01","","","","","","","","","","","41.1","","43.2","","84.3","","15","",,"",,""
"1951-02","1951","02","","","","","","","","","","","16.3","","29.2","","45.5","","10","",,"",,""
"1951-03","1951","03","","","","","","","","","","","54.1","","35.6","","89.7","","","M",,"",,""
"1951-04","1951","04","","","","","","","","","","","91.7","","17.8","","109.5","","","M",,"",,""
"1951-05","1951","05","","","","","","","","","","","36.1","","0.0","","36.1","","","M",,"",,""
"1951-06","1951","06","","","","","","","","","","","78.0","","0.0","","78.0","","","M",,"",,""
"1951-07","1951","07","","","","","","","","","","","125.7","","0.0","","125.7","","","M",,"",,""
"1951-08","1951","08","","","","","","","","","","","109.2","","0.0","","109.2","","","M",,"",,""
"1951-09","1951","09","","","","","","","","","","","95.3","","0.0","","95.3","","","M",,"",,""
"1951-10","1951","10","","","","","","","","","","","90.7","","0.0","T","90.7","","0","",,"",,""
"1951-11","1951","11","","","","","","","","","","","63.8","","54.6","","118.4","","0","T",,"",,""
"1951-12","1951","12","","","","","","","","","","","13.7","","106.7","","120.4","","46","",,"",,""
"1952-01","1952","01","","","","","","","","","","","21.8","","39.4","","61.2","","25","",,"",,""
"1952-02","1952","02","","","","","","","","","","","32.3","","41.9","","74.2","","30","",,"",,""
"1952-03","1952","03","","","","","","","","","","","39.9","","34.3","","74.2","","0","T",,"",,""
"1952-04","1952","04","","","","","","","","","","","72.6","","12.7","","85.3","","","M",,"",,""
"1952-05","1952","05","","","","","","","","","","","78.2","","0.0","T","78.2","","","M",,"",,""
"1952-06","1952","06","","","","","","","","","","","28.4","","0.0","","28.4","","","M",,"",,""
"1952-07","1952","07","","","","","","","","","","","95.8","","0.0","","95.8","","","M",,"",,""
"1952-08","1952","08","","","","","","","","","","","70.6","","0.0","","70.6","","","M",,"",,""
"1952-09","1952","09","","","","","","","","","","","62.0","","0.0","","62.0","","","M",,"",,""
"1952-10","1952","10","","","","","","","","","","","24.9","","17.0","","41.9","","","M",,"",,""
"1952-11","1952","11","","","","","","","","","","","89.4","","25.4","","114.8","","15","",,"",,""
"1952-12","1952","12","","","","","","","","","","","32.5","","41.1","","73.7","","13","",,"",,""
"1953-01","1953","01","","","","","","","","","","","40.9","","36.8","","77.7","","5","",,"",,""
"1953-02","1953","02","","","","","","","","","","","18.8","","71.9","","90.7","","20","",,"",,""
"1953-03","1953","03","","","","","","","","","","","66.0","","53.3","","119.4","","0","",,"",,""
"1953-04","1953","04","","","","","","","","","","","77.7","","16.5","","94.2","","","M",,"",,""
"1953-05","1953","05","","","","","","","","","","","144.0","","0.0","","144.0","","","M",,"",,""
"1953-06","1953","06","","","","","","","","","","","83.8","","0.0","","83.8","","","M",,"",,""
"1953-07","1953","07","","","","","","","","","","","143.8","","0.0","","143.8","","","M",,"",,""
"1953-08","1953","08","","","","","","","","","","","39.9","","0.0","","39.9","","","M",,"",,""
"1953-09","1953","09","","","","","","","","","","","109.0","","0.0","","109.0","","","M",,"",,""
"1953-10","1953","10","","","","","","","","","","","37.3","","0.0","","37.3","","","M",,"",,""
"1953-11","1953","11","","","","","","","","","","","27.4","","31.0","","58.4","","3","",,"",,""
"1953-12","1953","12","","","","","","","","","","","24.9","","40.6","","65.5","","13","",,"",,""
