"Station Name","CANDO"
"Province","SASKATCHEWAN"
"Latitude","52.40"
"Longitude","-108.27"
"Elevation","710.00"
"Climate Identifier","4041088"
"WMO Identifier",""
"TC Identifier",""

"Legend"
"B","More than one occurrence and estimated"
"E","Estimated"
"M","Missing"
"S","More than one occurrence"
"T","Trace"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"

"Date/Time","Year","Month","Mean Max Temp (°C)","Mean Max Temp Flag","Mean Min Temp (°C)","Mean Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Extr Max Temp (°C)","Extr Max Temp Flag","Extr Min Temp (°C)","Extr Min Temp Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow Grnd Last Day (cm)","Snow Grnd Last Day Flag","Dir of Max Gust (10's deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"1984-01","1984","01","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1984-02","1984","02","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1984-03","1984","03","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1984-04","1984","04","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1984-05","1984","05","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1984-06","1984","06","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1984-07","1984","07","27.0","","11.4","","19.2","","38.5","","6.0","","28.8","","0.0","","28.8","","0","",,"",,""
"1984-08","1984","08","26.2","","10.7","","18.5","","","M","","M","37.7","","0.0","","37.7","","0","",,"",,""
"1984-09","1984","09","12.8","","2.3","","7.6","","31.0","","-5.5","","52.3","","20.6","","72.9","","0","",,"",,""
"1984-10","1984","10","4.9","","-3.8","","0.6","","","M","-23.0","","3.0","","46.2","","49.2","","25","",,"",,""
"1984-11","1984","11","-6.5","E","-13.3","E","-9.9","E","4.5","","-25.5","S","0.0","T","","M","","M","","M",,"",,""
"1984-12","1984","12","-16.7","","-27.4","E","-22.1","E","3.5","","-38.0","S","0.0","","18.2","","18.2","","","M",,"",,""
"1985-01","1985","01","-9.2","","-21.0","","-15.1","","6.0","","-39.0","","0.0","T","12.8","","12.8","","","M",,"",,""
"1985-02","1985","02","-11.0","","-22.2","","-16.6","","5.5","","-37.5","","0.0","","13.2","","13.2","","","M",,"",,""
"1985-03","1985","03","0.2","","-11.2","","-5.5","","5.5","","-19.0","","0.0","","31.8","","31.8","","","M",,"",,""
"1985-04","1985","04","8.2","","-1.3","","3.5","","18.0","S","-10.5","","60.6","","26.8","","87.4","","","M",,"",,""
"1985-05","1985","05","18.9","","6.7","","12.8","","27.0","S","1.0","","75.5","","0.0","","75.5","","0","",,"",,""
