"Station Name","BELMONT"
"Province","MANITOBA"
"Latitude","49.30"
"Longitude","-99.45"
"Elevation","481.60"
"Climate Identifier","5010191"
"WMO Identifier",""
"TC Identifier",""

"Legend"
"B","More than one occurrence and estimated"
"E","Estimated"
"M","Missing"
"S","More than one occurrence"
"T","Trace"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"

"Date/Time","Year","Month","Mean Max Temp (°C)","Mean Max Temp Flag","Mean Min Temp (°C)","Mean Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Extr Max Temp (°C)","Extr Max Temp Flag","Extr Min Temp (°C)","Extr Min Temp Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow Grnd Last Day (cm)","Snow Grnd Last Day Flag","Dir of Max Gust (10's deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"1984-01","1984","01","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1984-02","1984","02","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1984-03","1984","03","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1984-04","1984","04","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1984-05","1984","05","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1984-06","1984","06","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1984-07","1984","07","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1984-08","1984","08","","","","","","","","","","","","M","0.0","","","M","0","",,"",,""
"1984-09","1984","09","","","","","","","","","","","67.0","","0.9","","67.9","","0","",,"",,""
"1984-10","1984","10","","","","","","","","","","","110.2","","9.8","","120.0","","6","",,"",,""
"1984-11","1984","11","","","","","","","","","","","0.0","T","22.2","","22.2","","21","",,"",,""
"1984-12","1984","12","","","","","","","","","","","0.0","","34.8","","34.8","","","M",,"",,""
"1985-01","1985","01","","","","","","","","","","","0.0","","18.6","","18.6","","","M",,"",,""
"1985-02","1985","02","","","","","","","","","","","0.0","","20.6","","20.6","","","M",,"",,""
"1985-03","1985","03","","","","","","","","","","","0.0","","9.4","","9.4","","2","",,"",,""
"1985-04","1985","04","","","","","","","","","","","5.2","","0.4","","5.6","","","M",,"",,""
"1985-05","1985","05","","","","","","","","","","","50.8","","0.0","","50.8","","0","",,"",,""
"1985-06","1985","06","","","","","","","","","","","161.6","","0.0","","161.6","","0","",,"",,""
"1985-07","1985","07","","","","","","","","","","","44.2","","0.0","","44.2","","0","",,"",,""
"1985-08","1985","08","","","","","","","","","","","","M","0.0","","","M","0","",,"",,""
"1985-09","1985","09","","","","","","","","","","","40.8","","0.0","T","40.8","","0","",,"",,""
"1985-10","1985","10","","","","","","","","","","","","M","19.0","","","M","0","",,"",,""
"1985-11","1985","11","","","","","","","","","","","0.0","T","31.6","","31.6","","","M",,"",,""
"1985-12","1985","12","","","","","","","","","","","0.0","T","29.8","","29.8","","53","",,"",,""
"1986-01","1986","01","","","","","","","","","","","0.0","","19.4","","19.4","","57","",,"",,""
"1986-02","1986","02","","","","","","","","","","","0.0","T","20.0","","20.0","","68","",,"",,""
"1986-03","1986","03","","","","","","","","","","","0.0","T","10.2","","10.2","","0","",,"",,""
"1986-04","1986","04","","","","","","","","","","","89.2","","20.4","","109.6","","0","",,"",,""
"1986-05","1986","05","","","","","","","","","","","49.0","","0.0","","49.0","","0","",,"",,""
"1986-06","1986","06","","","","","","","","","","","51.8","","0.0","","51.8","","0","",,"",,""
"1986-07","1986","07","","","","","","","","","","","168.4","","0.0","","168.4","","0","",,"",,""
"1986-08","1986","08","","","","","","","","","","","25.6","","0.0","","25.6","","0","",,"",,""
"1986-09","1986","09","","","","","","","","","","","61.8","","0.0","","61.8","","0","",,"",,""
"1986-10","1986","10","","","","","","","","","","","19.0","","1.4","","20.4","","","M",,"",,""
"1986-11","1986","11","","","","","","","","","","","2.2","","34.0","","36.2","","","M",,"",,""
"1986-12","1986","12","","","","","","","","","","","0.0","","11.6","","11.6","","27","",,"",,""
"1987-01","1987","01","","","","","","","","","","","0.0","T","15.6","","15.6","","31","",,"",,""
"1987-02","1987","02","","","","","","","","","","","0.0","","63.6","","63.6","","","M",,"",,""
"1987-03","1987","03","","","","","","","","","","","0.0","T","14.1","","14.1","","31","",,"",,""
"1987-04","1987","04","","","","","","","","","","","3.8","E","0.8","E","4.6","E","0","",,"",,""
"1987-05","1987","05","","","","","","","","","","","47.6","","0.0","","47.6","","0","",,"",,""
"1987-06","1987","06","","","","","","","","","","","32.6","","0.0","","32.6","","0","",,"",,""
"1987-07","1987","07","","","","","","","","","","","115.4","","0.0","","115.4","","0","",,"",,""
"1987-08","1987","08","","","","","","","","","","","168.4","","0.0","","168.4","","0","",,"",,""
"1987-09","1987","09","","","","","","","","","","","25.6","","0.0","","25.6","","0","",,"",,""
"1987-10","1987","10","","","","","","","","","","","4.4","","9.8","","14.2","","0","",,"",,""
"1987-11","1987","11","","","","","","","","","","","4.0","","0.0","T","4.0","","0","",,"",,""
"1987-12","1987","12","","","","","","","","","","","0.0","T","11.0","","11.0","","7","",,"",,""
"1988-01","1988","01","","","","","","","","","","","0.0","","26.4","","26.4","","28","",,"",,""
"1988-02","1988","02","","","","","","","","","","","0.0","T","13.4","","13.4","","0","T",,"",,""
"1988-03","1988","03","","","","","","","","","","","0.0","T","28.2","","28.2","","0","",,"",,""
"1988-04","1988","04","","","","","","","","","","","","M","0.0","","","M","0","",,"",,""
"1988-05","1988","05","","","","","","","","","","","53.2","","0.0","","53.2","","0","",,"",,""
"1988-06","1988","06","","","","","","","","","","","58.2","","0.0","","58.2","","0","",,"",,""
"1988-07","1988","07","","","","","","","","","","","68.4","","0.0","","68.4","","0","",,"",,""
"1988-08","1988","08","","","","","","","","","","","9.6","","0.0","","9.6","","0","",,"",,""
"1988-09","1988","09","","","","","","","","","","","65.8","","0.0","","65.8","","0","",,"",,""
"1988-10","1988","10","","","","","","","","","","","5.8","","10.0","","15.8","","3","",,"",,""
"1988-11","1988","11","","","","","","","","","","","","M","21.4","","","M","","M",,"",,""
"1988-12","1988","12","","","","","","","","","","","0.0","","36.0","","36.0","","32","",,"",,""
"1989-01","1989","01","","","","","","","","","","","0.0","","52.8","","52.8","","","M",,"",,""
"1989-02","1989","02","","","","","","","","","","","0.0","","7.4","","7.4","","83","",,"",,""
"1989-03","1989","03","","","","","","","","","","","","M","","M","","M","58","",,"",,""
"1989-04","1989","04","","","","","","","","","","","11.6","","2.0","","13.6","","0","",,"",,""
"1989-05","1989","05","","","","","","","","","","","49.4","","0.0","","49.4","","0","",,"",,""
"1989-06","1989","06","","","","","","","","","","","135.0","","0.0","","135.0","","0","",,"",,""
"1989-07","1989","07","","","","","","","","","","","25.8","","0.0","","25.8","","0","",,"",,""
"1989-08","1989","08","","","","","","","","","","","61.8","","0.0","","61.8","","0","",,"",,""
"1989-09","1989","09","","","","","","","","","","","55.0","","0.0","","55.0","","0","",,"",,""
"1989-10","1989","10","","","","","","","","","","","9.8","","1.0","","10.8","","1","",,"",,""
"1989-11","1989","11","","","","","","","","","","","0.0","T","23.2","","23.2","","2","",,"",,""
"1989-12","1989","12","","","","","","","","","","","","M","11.6","","","M","","M",,"",,""
"1990-01","1990","01","","","","","","","","","","","0.0","T","29.4","","29.4","","","M",,"",,""
"1990-02","1990","02","","","","","","","","","","","0.0","","23.6","","23.6","","","M",,"",,""
"1990-03","1990","03","","","","","","","","","","","30.5","","36.4","","66.9","","0","",,"",,""
"1990-04","1990","04","","","","","","","","","","","15.6","","22.6","","38.2","","5","",,"",,""
"1990-05","1990","05","","","","","","","","","","","59.4","","0.0","T","59.4","","0","",,"",,""
"1990-06","1990","06","","","","","","","","","","","126.0","","0.0","","126.0","","0","",,"",,""
"1990-07","1990","07","","","","","","","","","","","46.4","","0.0","","46.4","","0","",,"",,""
"1990-08","1990","08","","","","","","","","","","","71.8","","0.0","","71.8","","0","",,"",,""
"1990-09","1990","09","","","","","","","","","","","28.2","","0.0","","28.2","","0","",,"",,""
"1990-10","1990","10","","","","","","","","","","","8.6","","0.0","T","8.6","","","M",,"",,""
"1990-11","1990","11","","","","","","","","","","","","M","2.2","","","M","2","",,"",,""
"1990-12","1990","12","","","","","","","","","","","0.0","","36.6","","36.6","","29","",,"",,""
"1991-01","1991","01","","","","","","","","","","","0.0","T","24.0","","24.0","","","M",,"",,""
"1991-02","1991","02","","","","","","","","","","","0.0","","25.2","","25.2","","31","",,"",,""
"1991-03","1991","03","","","","","","","","","","","0.0","T","11.4","","11.4","","","M",,"",,""
"1991-04","1991","04","","","","","","","","","","","46.6","E","9.8","E","56.4","E","0","",,"",,""
"1991-05","1991","05","","","","","","","","","","","102.4","","27.6","","130.0","","0","",,"",,""
"1991-06","1991","06","","","","","","","","","","","155.4","","0.0","","155.4","","0","",,"",,""
"1991-07","1991","07","","","","","","","","","","","77.6","","0.0","","77.6","","0","",,"",,""
"1991-08","1991","08","","","","","","","","","","","29.6","","0.0","","29.6","","0","",,"",,""
"1991-09","1991","09","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1991-10","1991","10","","","","","","","","","","","21.6","","38.4","","60.0","","","M",,"",,""
"1991-11","1991","11","","","","","","","","","","","","M","14.8","","14.8","I","16","",,"",,""
"1991-12","1991","12","","","","","","","","","","","0.0","T","28.0","","28.0","","42","",,"",,""
"1992-01","1992","01","","","","","","","","","","","0.0","","23.2","","23.2","","","M",,"",,""
"1992-02","1992","02","","","","","","","","","","","0.4","","17.4","","17.8","","36","",,"",,""
"1992-03","1992","03","","","","","","","","","","","15.2","","8.8","I","24.0","I","2","",,"",,""
"1992-04","1992","04","","","","","","","","","","","15.2","","13.8","","29.0","","0","",,"",,""
"1992-05","1992","05","","","","","","","","","","","68.6","","0.0","T","68.6","","0","",,"",,""
"1992-06","1992","06","","","","","","","","","","","64.0","","0.0","","64.0","","0","",,"",,""
"1992-07","1992","07","","","","","","","","","","","51.6","","0.0","","51.6","","0","",,"",,""
"1992-08","1992","08","","","","","","","","","","","52.0","","0.0","","52.0","","0","",,"",,""
"1992-09","1992","09","","","","","","","","","","","34.6","","0.0","","34.6","","0","",,"",,""
"1992-10","1992","10","","","","","","","","","","","1.6","","15.8","","17.4","","0","",,"",,""
"1992-11","1992","11","","","","","","","","","","","0.8","","37.2","","38.0","","","M",,"",,""
"1992-12","1992","12","","","","","","","","","","","0.0","T","47.6","","47.6","","74","",,"",,""
"1993-01","1993","01","","","","","","","","","","","0.0","","9.8","","9.8","","75","",,"",,""
"1993-02","1993","02","","","","","","","","","","","0.0","T","0.2","","0.2","","46","",,"",,""
"1993-03","1993","03","","","","","","","","","","","0.0","T","21.0","","21.0","","","M",,"",,""
"1993-04","1993","04","","","","","","","","","","","12.2","","0.4","","12.6","","","",,"",,""
"1993-05","1993","05","","","","","","","","","","","65.0","","0.0","","65.0","","0","",,"",,""
"1993-06","1993","06","","","","","","","","","","","113.0","","0.0","","113.0","","0","",,"",,""
"1993-07","1993","07","","","","","","","","","","","179.2","","0.0","","179.2","","0","",,"",,""
"1993-08","1993","08","","","","","","","","","","","99.4","","0.0","","99.4","","0","",,"",,""
"1993-09","1993","09","","","","","","","","","","","28.6","","0.0","","28.6","","0","",,"",,""
"1993-10","1993","10","","","","","","","","","","","13.0","","1.0","","14.0","","0","",,"",,""
"1993-11","1993","11","","","","","","","","","","","0.0","","33.0","","33.0","","","",,"",,""
"1993-12","1993","12","","","","","","","","","","","2.6","","13.0","","15.6","","","",,"",,""
"1994-01","1994","01","","","","","","","","","","","0.0","","25.8","","25.8","","","M",,"",,""
"1994-02","1994","02","","","","","","","","","","","0.0","T","14.6","","14.6","","","M",,"",,""
"1994-03","1994","03","","","","","","","","","","","0.0","T","6.0","","6.0","","","M",,"",,""
"1994-04","1994","04","","","","","","","","","","","0.0","T","5.6","","5.6","","0","",,"",,""
"1994-05","1994","05","","","","","","","","","","","71.2","","0.0","","71.2","","0","",,"",,""
"1994-06","1994","06","","","","","","","","","","","103.6","","0.0","","103.6","","0","",,"",,""
"1994-07","1994","07","","","","","","","","","","","57.8","","0.0","","57.8","","0","",,"",,""
"1994-08","1994","08","","","","","","","","","","","60.6","","0.0","","60.6","","0","",,"",,""
"1994-09","1994","09","","","","","","","","","","","47.6","","0.0","","47.6","","0","",,"",,""
"1994-10","1994","10","","","","","","","","","","","138.4","","0.0","","138.4","","0","",,"",,""
"1994-11","1994","11","","","","","","","","","","","","M","27.0","","25.0","I","","M",,"",,""
"1994-12","1994","12","","","","","","","","","","","0.0","","16.8","","16.8","","21","",,"",,""
"1995-01","1995","01","","","","","","","","","","","0.0","T","37.0","","37.0","","40","",,"",,""
"1995-02","1995","02","","","","","","","","","","","0.0","","55.0","","55.0","","76","",,"",,""
"1995-03","1995","03","","","","","","","","","","","0.0","I","36.8","","34.8","I","20","",,"",,""
"1995-04","1995","04","","","","","","","","","","","4.0","","16.0","","20.0","","0","",,"",,""
"1995-05","1995","05","","","","","","","","","","","94.2","","0.0","","94.2","","0","",,"",,""
"1995-06","1995","06","","","","","","","","","","","42.8","","0.0","","42.8","","0","",,"",,""
"1995-07","1995","07","","","","","","","","","","","87.4","","0.0","","87.4","","0","",,"",,""
"1995-08","1995","08","","","","","","","","","","","85.6","","0.0","","85.6","","0","",,"",,""
"1995-09","1995","09","","","","","","","","","","","27.6","","7.6","","35.2","","0","",,"",,""
"1995-10","1995","10","","","","","","","","","","","47.8","","4.6","","52.4","","","M",,"",,""
"1995-11","1995","11","","","","","","","","","","","0.0","T","49.4","","49.4","","44","",,"",,""
"1995-12","1995","12","","","","","","","","","","","0.0","","30.6","","30.6","","","M",,"",,""
"1996-01","1996","01","","","","","","","","","","","0.0","","15.0","E","15.0","E","77","",,"",,""
"1996-02","1996","02","","","","","","","","","","","0.0","","23.6","","23.6","","","M",,"",,""
"1996-03","1996","03","","","","","","","","","","","21.0","","15.0","","36.0","","68","",,"",,""
"1996-04","1996","04","","","","","","","","","","","8.4","","10.6","","19.0","","0","",,"",,""
"1996-05","1996","05","","","","","","","","","","","81.4","","0.0","","81.4","","0","",,"",,""
"1996-06","1996","06","","","","","","","","","","","72.4","","0.0","","72.4","","0","",,"",,""
"1996-07","1996","07","","","","","","","","","","","146.0","","0.0","","146.0","","0","",,"",,""
"1996-08","1996","08","","","","","","","","","","","40.8","","0.0","","40.8","","0","",,"",,""
"1996-09","1996","09","","","","","","","","","","","37.2","","0.0","","37.2","","0","",,"",,""
"1996-10","1996","10","","","","","","","","","","","10.8","E","12.6","","23.4","E","","M",,"",,""
"1996-11","1996","11","","","","","","","","","","","0.0","","49.0","","49.0","","","",,"",,""
"1996-12","1996","12","","","","","","","","","","","0.0","T","49.0","","49.0","","","",,"",,""
"1997-01","1997","01","","","","","","","","","","","0.8","","17.4","","18.2","","","",,"",,""
"1997-02","1997","02","","","","","","","","","","","0.4","","14.8","","15.2","","85","",,"",,""
"1997-03","1997","03","","","","","","","","","","","0.0","T","32.4","","32.4","","48","",,"",,""
"1997-04","1997","04","","","","","","","","","","","6.2","","46.0","","52.2","","0","",,"",,""
"1997-05","1997","05","","","","","","","","","","","23.8","","0.0","T","23.8","","0","",,"",,""
"1997-06","1997","06","","","","","","","","","","","53.0","","0.0","","53.0","","0","",,"",,""
"1997-07","1997","07","","","","","","","","","","","96.2","","0.0","","96.2","","0","",,"",,""
"1997-08","1997","08","","","","","","","","","","","66.0","","0.0","","66.0","","0","",,"",,""
"1997-09","1997","09","","","","","","","","","","","15.6","","0.0","","15.6","","0","",,"",,""
"1997-10","1997","10","","","","","","","","","","","64.2","","9.6","","73.8","","0","T",,"",,""
"1997-11","1997","11","","","","","","","","","","","0.0","T","6.4","","6.4","","0","",,"",,""
"1997-12","1997","12","","","","","","","","","","","0.0","","25.4","","25.4","","","M",,"",,""
"1998-01","1998","01","","","","","","","","","","","0.0","T","23.4","","23.4","","","M",,"",,""
"1998-02","1998","02","","","","","","","","","","","3.0","","82.0","","85.0","","58","",,"",,""
"1998-03","1998","03","","","","","","","","","","","0.0","T","1.0","I","1.0","I","6","",,"",,""
"1998-04","1998","04","","","","","","","","","","","22.8","","0.0","T","22.8","","0","",,"",,""
"1998-05","1998","05","","","","","","","","","","","53.6","","0.0","","53.6","","0","",,"",,""
"1998-06","1998","06","","","","","","","","","","","158.2","E","0.0","T","158.2","E","0","",,"",,""
"1998-07","1998","07","","","","","","","","","","","51.8","E","0.0","","51.8","E","0","",,"",,""
"1998-08","1998","08","","","","","","","","","","","76.4","","0.0","","76.4","","0","",,"",,""
"1998-09","1998","09","","","","","","","","","","","12.0","","0.0","","12.0","","0","",,"",,""
"1998-10","1998","10","","","","","","","","","","","74.2","","0.0","","74.2","","0","",,"",,""
"1998-11","1998","11","","","","","","","","","","","","M","22.0","","22.0","I","0","",,"",,""
"1998-12","1998","12","","","","","","","","","","","0.0","","26.0","","26.0","","17","",,"",,""
"1999-01","1999","01","","","","","","","","","","","0.0","","46.8","","46.8","","54","",,"",,""
"1999-02","1999","02","","","","","","","","","","","0.0","T","32.8","","32.8","","60","",,"",,""
"1999-03","1999","03","","","","","","","","","","","0.0","","14.6","","14.6","","0","",,"",,""
"1999-04","1999","04","","","","","","","","","","","1.2","","33.0","","34.2","","0","",,"",,""
"1999-05","1999","05","","","","","","","","","","","214.0","","0.0","","214.0","","0","",,"",,""
"1999-06","1999","06","","","","","","","","","","","64.6","","0.0","","64.6","","0","",,"",,""
"1999-07","1999","07","","","","","","","","","","","71.6","","0.0","","71.6","","0","",,"",,""
"1999-08","1999","08","","","","","","","","","","","66.2","","0.0","","66.2","","0","",,"",,""
"1999-09","1999","09","","","","","","","","","","","52.6","","0.0","","52.6","","0","",,"",,""
"1999-10","1999","10","","","","","","","","","","","15.0","","0.0","","15.0","","0","",,"",,""
"1999-11","1999","11","","","","","","","","","","","0.0","","2.6","","2.6","","0","",,"",,""
"1999-12","1999","12","","","","","","","","","","","0.6","","36.2","","36.8","","7","",,"",,""
"2000-01","2000","01","","","","","","","","","","","0.0","","12.4","","12.4","","16","",,"",,""
"2000-02","2000","02","","","","","","","","","","","23.0","","19.0","","42.0","","6","",,"",,""
"2000-03","2000","03","","","","","","","","","","","15.6","","4.0","","19.6","","0","",,"",,""
"2000-04","2000","04","","","","","","","","","","","8.0","","14.6","","22.6","","0","",,"",,""
"2000-05","2000","05","","","","","","","","","","","68.0","","0.0","","68.0","","0","",,"",,""
"2000-06","2000","06","","","","","","","","","","","119.0","","0.0","","119.0","","0","",,"",,""
"2000-07","2000","07","","","","","","","","","","","7.0","I","0.0","","7.0","I","0","",,"",,""
"2000-08","2000","08","","","","","","","","","","","100.0","","0.0","","100.0","","0","",,"",,""
"2000-09","2000","09","","","","","","","","","","","74.6","","0.0","","74.6","","0","",,"",,""
"2000-10","2000","10","","","","","","","","","","","16.8","","0.0","","16.8","","0","",,"",,""
"2000-11","2000","11","","","","","","","","","","","50.8","","70.6","","121.4","","53","",,"",,""
"2000-12","2000","12","","","","","","","","","","","0.0","","43.8","","43.8","","","M",,"",,""
"2001-01","2001","01","","","","","","","","","","","0.0","T","6.6","","6.6","","83","",,"",,""
"2001-02","2001","02","","","","","","","","","","","0.0","T","23.2","","23.2","","94","",,"",,""
"2001-03","2001","03","","","","","","","","","","","0.0","","13.0","","13.0","","18","",,"",,""
"2001-04","2001","04","","","","","","","","","","","7.6","","19.0","","26.6","","0","",,"",,""
