"Station Name","UPPER NOTCH"
"Province","ONTARIO"
"Latitude","47.25"
"Longitude","-79.58"
"Elevation","240.80"
"Climate Identifier","6079068"
"WMO Identifier",""
"TC Identifier",""

"Legend"
"B","More than one occurrence and estimated"
"E","Estimated"
"M","Missing"
"S","More than one occurrence"
"T","Trace"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"

"Date/Time","Year","Month","Mean Max Temp (°C)","Mean Max Temp Flag","Mean Min Temp (°C)","Mean Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Extr Max Temp (°C)","Extr Max Temp Flag","Extr Min Temp (°C)","Extr Min Temp Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow Grnd Last Day (cm)","Snow Grnd Last Day Flag","Dir of Max Gust (10's deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"1950-01","1950","01","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1950-02","1950","02","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1950-03","1950","03","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1950-04","1950","04","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1950-05","1950","05","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1950-06","1950","06","","","","","","","","","","","74.2","","0.0","","74.2","","","M",,"",,""
"1950-07","1950","07","","","","","","","","","","","66.5","","0.0","","66.5","","","M",,"",,""
"1950-08","1950","08","","","","","","","","","","","67.8","","0.0","","67.8","","","M",,"",,""
"1950-09","1950","09","","","","","","","","","","","34.8","","0.0","","34.8","","","M",,"",,""
"1950-10","1950","10","","","","","","","","","","","68.6","","5.3","","73.9","","","M",,"",,""
"1950-11","1950","11","","","","","","","","","","","","M","","M","93.5","","18","",,"",,""
"1950-12","1950","12","","","","","","","","","","","8.9","","40.4","","49.3","","25","",,"",,""
"1951-01","1951","01","","","","","","","","","","","0.0","","78.0","","78.0","","","",,"",,""
"1951-02","1951","02","","","","","","","","","","","0.0","T","65.0","","65.0","","","",,"",,""
"1951-03","1951","03","","","","","","","","","","","23.9","","97.3","","121.2","","","",,"",,""
"1951-04","1951","04","","","","","","","","","","","48.8","","21.1","","69.9","","","",,"",,""
"1951-05","1951","05","","","","","","","","","","","26.9","","0.0","","26.9","","","",,"",,""
"1951-06","1951","06","","","","","","","","","","","116.6","","0.0","","116.6","","","",,"",,""
"1951-07","1951","07","","","","","","","","","","","","M","","M","","M","","",,"",,""
"1951-08","1951","08","","","","","","","","","","","114.0","","0.0","","114.0","","","",,"",,""
"1951-09","1951","09","","","","","","","","","","","104.4","","0.0","","104.4","","","",,"",,""
"1951-10","1951","10","","","","","","","","","","","187.5","","12.4","","199.9","","","",,"",,""
"1951-11","1951","11","","","","","","","","","","","20.3","","49.8","","70.1","","","",,"",,""
"1951-12","1951","12","","","","","","","","","","","30.5","","36.8","","67.3","","","",,"",,""
"1952-01","1952","01","","","","","","","","","","","5.6","","53.8","","59.4","","","",,"",,""
"1952-02","1952","02","","","","","","","","","","","1.0","","35.6","","36.6","","","",,"",,""
"1952-03","1952","03","","","","","","","","","","","9.4","","57.2","","66.5","","","",,"",,""
"1952-04","1952","04","","","","","","","","","","","4.1","","35.8","","39.9","","","",,"",,""
"1952-05","1952","05","","","","","","","","","","","92.2","","0.0","","92.2","","","",,"",,""
"1952-06","1952","06","","","","","","","","","","","70.6","","0.0","","70.6","","","",,"",,""
"1952-07","1952","07","","","","","","","","","","","115.3","","0.0","","115.3","","","",,"",,""
"1952-08","1952","08","","","","","","","","","","","153.9","","0.0","","153.9","","","",,"",,""
"1952-09","1952","09","","","","","","","","","","","102.1","","0.0","","102.1","","","",,"",,""
"1952-10","1952","10","","","","","","","","","","","20.6","","4.1","","24.6","","","",,"",,""
"1952-11","1952","11","","","","","","","","","","","58.4","","23.1","","81.5","","","",,"",,""
"1952-12","1952","12","","","","","","","","","","","21.3","","32.0","","53.3","","","",,"",,""
"1953-01","1953","01","","","","","","","","","","","7.4","","91.9","","99.3","","","",,"",,""
"1953-02","1953","02","","","","","","","","","","","38.1","","27.9","","66.0","","","",,"",,""
"1953-03","1953","03","","","","","","","","","","","95.3","","16.8","","112.0","","","",,"",,""
"1953-04","1953","04","","","","","","","","","","","52.8","","21.3","","74.2","","","",,"",,""
"1953-05","1953","05","","","","","","","","","","","27.2","","0.0","","27.2","","","",,"",,""
"1953-06","1953","06","","","","","","","","","","","84.1","","0.0","","84.1","","","",,"",,""
"1953-07","1953","07","","","","","","","","","","","88.6","","0.0","","88.6","","","",,"",,""
"1953-08","1953","08","","","","","","","","","","","63.8","","0.0","","63.8","","","",,"",,""
"1953-09","1953","09","","","","","","","","","","","112.5","","0.0","","112.5","","","",,"",,""
"1953-10","1953","10","","","","","","","","","","","22.6","","0.0","T","22.6","","","",,"",,""
"1953-11","1953","11","","","","","","","","","","","23.9","","8.4","","32.3","","","",,"",,""
"1953-12","1953","12","","","","","","","","","","","26.2","","52.3","","78.5","","","",,"",,""
"1954-01","1954","01","","","","","","","","","","","0.0","","68.6","","68.6","","","",,"",,""
"1954-02","1954","02","","","","","","","","","","","","M","","M","","M","","",,"",,""
"1954-03","1954","03","","","","","","","","","","","47.5","","54.4","","101.9","","","",,"",,""
"1954-04","1954","04","","","","","","","","","","","51.8","","7.4","","59.2","","","",,"",,""
"1954-05","1954","05","","","","","","","","","","","99.1","","0.0","T","99.1","","","",,"",,""
"1954-06","1954","06","","","","","","","","","","","175.3","","0.0","","175.3","","","",,"",,""
"1954-07","1954","07","","","","","","","","","","","63.0","","0.0","","63.0","","","",,"",,""
"1954-08","1954","08","","","","","","","","","","","100.3","","0.0","","100.3","","","",,"",,""
"1954-09","1954","09","","","","","","","","","","","164.8","","0.0","","164.8","","","",,"",,""
"1954-10","1954","10","","","","","","","","","","","120.7","","1.3","","121.9","","","",,"",,""
"1954-11","1954","11","","","","","","","","","","","65.5","","8.4","","73.9","","","",,"",,""
"1954-12","1954","12","","","","","","","","","","","0.0","","58.4","","58.4","","","",,"",,""
"1955-01","1955","01","","","","","","","","","","","0.0","","60.7","","60.7","","","",,"",,""
"1955-02","1955","02","","","","","","","","","","","0.0","","16.3","","16.3","","","",,"",,""
"1955-03","1955","03","","","","","","","","","","","6.6","","46.7","","53.3","","","",,"",,""
"1955-04","1955","04","","","","","","","","","","","23.6","","0.8","","24.4","","","",,"",,""
"1955-05","1955","05","","","","","","","","","","","63.5","","0.0","T","63.5","","","",,"",,""
"1955-06","1955","06","","","","","","","","","","","19.8","","0.0","","19.8","","","",,"",,""
"1955-07","1955","07","","","","","","","","","","","140.5","","0.0","","140.5","","","",,"",,""
"1955-08","1955","08","","","","","","","","","","","130.0","","0.0","","130.0","","","",,"",,""
"1955-09","1955","09","","","","","","","","","","","62.0","","0.0","","62.0","","","",,"",,""
"1955-10","1955","10","","","","","","","","","","","195.8","","2.5","","198.4","","","",,"",,""
"1955-11","1955","11","","","","","","","","","","","28.7","","24.4","","53.1","","","",,"",,""
"1955-12","1955","12","","","","","","","","","","","0.0","","57.9","","57.9","","","",,"",,""
"1956-01","1956","01","","","","","","","","","","","2.0","","15.2","","17.3","","38","",,"",,""
"1956-02","1956","02","","","","","","","","","","","0.0","","42.7","","42.7","","76","",,"",,""
"1956-03","1956","03","","","","","","","","","","","0.0","","62.7","","62.7","","69","",,"",,""
