"Station Name","PEACHLAND GREATA RANCH"
"Province","BRITISH COLUMBIA"
"Latitude","49.70"
"Longitude","-119.74"
"Elevation","398.00"
"Climate Identifier","1126078"
"WMO Identifier",""
"TC Identifier",""

"Legend"
"B","More than one occurrence and estimated"
"E","Estimated"
"M","Missing"
"S","More than one occurrence"
"T","Trace"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"

"Date/Time","Year","Month","Mean Max Temp (°C)","Mean Max Temp Flag","Mean Min Temp (°C)","Mean Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Extr Max Temp (°C)","Extr Max Temp Flag","Extr Min Temp (°C)","Extr Min Temp Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow Grnd Last Day (cm)","Snow Grnd Last Day Flag","Dir of Max Gust (10's deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"1994-01","1994","01","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1994-02","1994","02","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1994-03","1994","03","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1994-04","1994","04","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1994-05","1994","05","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1994-06","1994","06","23.0","","12.3","","17.7","","33.0","","7.5","","29.8","","0.0","","29.8","","0","",,"",,""
"1994-07","1994","07","30.9","","17.6","","24.3","","38.5","","11.0","","8.4","","0.0","","8.4","","0","",,"",,""
"1994-08","1994","08","26.9","","15.9","E","21.4","E","34.5","","12.5","","45.0","","0.0","","45.0","","0","",,"",,""
"1994-09","1994","09","23.3","E","12.9","E","18.1","I","29.0","E","9.5","B","9.9","E","0.0","","9.9","E","0","",,"",,""
"1994-10","1994","10","12.9","E","6.4","E","9.8","E","22.0","E","0.0","","34.1","E","0.0","","34.1","E","0","",,"",,""
"1994-11","1994","11","3.9","E","-0.8","","1.5","E","9.5","E","-6.0","","15.9","","17.5","","33.4","","0","",,"",,""
"1994-12","1994","12","2.3","E","-2.4","","0.0","E","10.0","","-16.0","","28.7","","11.7","E","40.4","E","0","",,"",,""
"1995-01","1995","01","1.4","","-2.0","","-0.3","","8.0","","-8.5","S","50.2","","13.4","","63.6","","0","",,"",,""
"1995-02","1995","02","5.8","","-0.3","","2.8","","12.5","","-11.0","","10.3","","3.4","","13.7","","0","",,"",,""
"1995-03","1995","03","8.2","","0.3","","4.3","","17.0","","-9.5","","38.0","","8.0","","46.0","","0","",,"",,""
"1995-04","1995","04","14.3","E","5.3","E","9.8","E","21.0","","1.5","S","21.8","E","0.0","","21.8","E","0","",,"",,""
"1995-05","1995","05","22.5","","9.7","I","16.4","I","31.5","","4.5","I","9.0","E","0.0","","9.0","E","0","",,"",,""
"1995-06","1995","06","24.0","","12.6","","18.3","","33.0","","8.0","","61.3","","0.0","","61.3","","0","",,"",,""
"1995-07","1995","07","26.7","E","13.1","E","20.0","E","34.0","B","5.5","E","15.0","","0.0","","15.0","","0","",,"",,""
"1995-08","1995","08","23.3","","13.0","","18.2","","34.5","","9.0","S","38.1","","0.0","","38.1","","0","",,"",,""
"1995-09","1995","09","","","","","","","","","","","","","","","","","","",,"",,""
"1995-10","1995","10","","","","","","","","","","","","","","","","","","",,"",,""
"1995-11","1995","11","","","","","","","","","","","","","","","","","","",,"",,""
"1995-12","1995","12","","","","","","","","","","","","","","","","","","",,"",,""
"1996-01","1996","01","","","","","","","","","","","","","","","","","","",,"",,""
"1996-02","1996","02","","","","","","","","","","","","","","","","","","",,"",,""
"1996-03","1996","03","","","","","","","","","","","","","","","","","","",,"",,""
"1996-04","1996","04","","","","","","","","","","","","","","","","","","",,"",,""
"1996-05","1996","05","","","","","","","","","","","","","","","","","","",,"",,""
"1996-06","1996","06","","","","","","","","","","","","","","","","","","",,"",,""
"1996-07","1996","07","","","","","","","","","","","","","","","","","","",,"",,""
"1996-08","1996","08","","","","","","","","","","","","","","","","","","",,"",,""
"1996-09","1996","09","18.8","E","8.6","E","13.7","E","25.5","","4.0","","53.0","","0.0","","53.0","","0","",,"",,""
"1996-10","1996","10","11.3","E","4.9","","8.1","E","21.5","","-1.0","S","46.2","","0.0","T","46.2","","0","",,"",,""
"1996-11","1996","11","3.1","","-1.9","","0.6","","10.0","","-11.5","","3.0","","48.0","","51.0","","","M",,"",,""
"1996-12","1996","12","-1.4","","-6.7","","-4.0","","8.0","","-19.0","","14.0","E","32.0","","46.0","E","","",,"",,""
"1997-01","1997","01","0.3","","-4.0","","-1.9","","9.0","","-15.0","","0.0","","19.0","","19.0","","","",,"",,""
"1997-02","1997","02","3.2","E","-2.1","E","0.7","E","8.0","B","-10.0","E","5.0","","10.0","","15.0","","","",,"",,""
"1997-03","1997","03","7.8","","1.0","","4.4","","15.0","","-5.0","","0.0","","18.5","","18.5","","","",,"",,""
"1997-04","1997","04","13.0","","3.5","","8.3","","19.0","","-1.5","S","22.0","","0.0","","22.0","","0","",,"",,""
"1997-05","1997","05","19.4","E","9.0","","14.3","E","28.0","B","4.0","","40.0","","0.0","","40.0","","0","",,"",,""
"1997-06","1997","06","21.5","E","11.4","E","16.5","E","29.0","","8.5","S","39.4","I","0.0","","39.4","I","0","",,"",,""
"1997-07","1997","07","25.4","","14.5","","20.0","","30.0","S","9.0","S","28.0","","0.0","","28.0","","0","",,"",,""
"1997-08","1997","08","25.7","","15.6","","20.7","","32.0","","11.0","","18.0","","0.0","","18.0","","0","",,"",,""
"1997-09","1997","09","20.0","","11.8","E","15.9","E","27.0","S","6.0","S","48.0","E","0.0","","48.0","E","0","",,"",,""
"1997-10","1997","10","11.2","E","5.3","","8.3","E","15.5","","2.5","S","27.4","","0.0","","27.4","","0","",,"",,""
"1997-11","1997","11","5.8","","1.8","","3.8","","11.0","","-1.0","S","2.6","","0.0","","2.6","","0","",,"",,""
"1997-12","1997","12","2.6","","-0.8","","0.9","","6.5","","-5.0","","7.0","","8.0","","15.0","","","",,"",,""
