"Station Name","PLESSISVILLE"
"Province","QUEBEC"
"Latitude","46.20"
"Longitude","-71.75"
"Elevation",""
"Climate Identifier","7026058"
"WMO Identifier",""
"TC Identifier",""

"Legend"
"B","More than one occurrence and estimated"
"E","Estimated"
"M","Missing"
"S","More than one occurrence"
"T","Trace"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"

"Date/Time","Year","Month","Mean Max Temp (°C)","Mean Max Temp Flag","Mean Min Temp (°C)","Mean Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Extr Max Temp (°C)","Extr Max Temp Flag","Extr Min Temp (°C)","Extr Min Temp Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow Grnd Last Day (cm)","Snow Grnd Last Day Flag","Dir of Max Gust (10's deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"1947-01","1947","01","","M","","M","","M","","M","","M","","M","","M","","M","","",,"",,""
"1947-02","1947","02","","M","","M","","M","","M","","M","","M","","M","","M","","",,"",,""
"1947-03","1947","03","1.9","","-6.5","","-2.3","","8.3","","-15.6","","","M","","M","","M","","",,"",,""
"1947-04","1947","04","6.4","","-4.8","","0.8","","16.1","S","-11.7","","","M","","M","","M","","",,"",,""
"1947-05","1947","05","16.3","","5.7","","11.0","","29.4","","-3.3","","","M","","M","","M","","",,"",,""
"1947-06","1947","06","21.3","","10.7","","16.0","","32.2","","1.1","","167.9","","0.0","","167.9","","","",,"",,""
"1947-07","1947","07","","M","","M","","M","","M","","M","","M","","M","","M","","",,"",,""
"1947-08","1947","08","26.8","","14.2","","20.5","","32.8","","3.9","","28.7","","0.0","","28.7","","","",,"",,""
"1947-09","1947","09","20.1","","7.1","","13.6","","29.4","","-5.0","","60.2","","0.0","","60.2","","","",,"",,""
"1947-10","1947","10","17.1","","4.5","","10.8","","25.6","","-5.0","S","32.5","","0.0","","32.5","","","",,"",,""
"1947-11","1947","11","4.6","","-5.0","","-0.2","","16.7","","-14.4","","35.6","","14.0","","49.5","","","",,"",,""
"1947-12","1947","12","-5.3","","-14.1","","-9.7","","5.0","","-23.9","","8.1","","27.9","","36.1","","","",,"",,""
"1948-01","1948","01","-8.4","","-19.7","","-14.1","","1.1","","-31.1","","0.0","","54.9","","54.9","","","",,"",,""
"1948-02","1948","02","-6.3","","-21.4","","-13.9","","7.8","","-32.8","","2.5","","38.1","","40.6","","","",,"",,""
"1948-03","1948","03","1.1","","-12.2","","-5.6","","15.0","","-27.8","","69.1","","30.0","","99.1","","","",,"",,""
"1948-04","1948","04","10.6","","-2.1","","4.3","","18.9","S","-11.7","","95.5","","0.0","","95.5","","","",,"",,""
"1948-05","1948","05","17.3","","5.0","","11.2","","27.2","","-2.8","","122.7","","0.0","","122.7","","","",,"",,""
"1948-06","1948","06","","M","","M","","M","","M","","M","","M","","M","","M","","",,"",,""
"1948-07","1948","07","","M","","M","","M","","M","","M","","M","","M","","M","","",,"",,""
"1948-08","1948","08","","M","","M","","M","","M","","M","","M","","M","","M","","",,"",,""
"1948-09","1948","09","","M","","M","","M","","M","","M","","M","","M","","M","","",,"",,""
"1948-10","1948","10","","M","","M","","M","","M","","M","","M","","M","","M","","",,"",,""
"1948-11","1948","11","","M","","M","","M","","M","","M","","M","","M","","M","","",,"",,""
"1948-12","1948","12","","M","","M","","M","","M","","M","","M","","M","","M","","",,"",,""
