"Station Name","CORONACH SPC"
"Province","SASKATCHEWAN"
"Latitude","49.05"
"Longitude","-105.48"
"Elevation","756.00"
"Climate Identifier","40318MN"
"WMO Identifier","71516"
"TC Identifier","WAQ"

"Legend"
"B","More than one occurrence and estimated"
"E","Estimated"
"M","Missing"
"S","More than one occurrence"
"T","Trace"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"

"Date/Time","Year","Month","Mean Max Temp (°C)","Mean Max Temp Flag","Mean Min Temp (°C)","Mean Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Extr Max Temp (°C)","Extr Max Temp Flag","Extr Min Temp (°C)","Extr Min Temp Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow Grnd Last Day (cm)","Snow Grnd Last Day Flag","Dir of Max Gust (10's deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"1980-01","1980","01","","M","","M","","M","","M","","M","","M","","M","","M","","",,"",,""
"1980-02","1980","02","","M","","M","","M","","M","","M","","M","","M","","M","","",,"",,""
"1980-03","1980","03","","M","","M","","M","","M","","M","","M","","M","","M","","",,"",,""
"1980-04","1980","04","","M","","M","","M","","M","","M","","M","","M","","M","","",,"",,""
"1980-05","1980","05","","M","","M","","M","","M","","M","","M","","M","","M","","",,"",,""
"1980-06","1980","06","","M","","M","","M","","M","","M","","M","","M","","M","","",,"",,""
"1980-07","1980","07","","M","","M","","M","","M","","M","","M","","M","","M","","",,"",,""
"1980-08","1980","08","","M","","M","","M","","M","","M","","M","","M","","M","","",,"",,""
"1980-09","1980","09","","M","","M","","M","","M","","M","","M","","M","","M","","",,"",,""
"1980-10","1980","10","","M","","M","","M","","M","","M","","M","","M","","M","","",,"",,""
"1980-11","1980","11","","M","","M","","M","","M","","M","","M","","M","","M","","",,"",,""
"1980-12","1980","12","-4.5","","-14.8","","-9.7","","11.0","","-34.0","","0.0","","20.5","","20.5","","","",,"",,""
"1981-01","1981","01","-0.2","","-10.2","","-5.2","","15.0","","-16.5","","0.0","T","1.0","","1.0","","","M",,"",,""
"1981-02","1981","02","-0.7","","-11.4","","-6.1","","11.5","","-32.0","","0.0","T","2.0","","2.0","","","M",,"",,""
"1981-03","1981","03","8.7","","-4.5","","2.1","","18.5","","-17.0","","","M","3.0","","","M","","M",,"",,""
"1981-04","1981","04","15.1","E","-1.0","","7.1","E","27.5","","-10.0","","20.0","","0.0","T","20.0","","0","",,"",,""
"1981-05","1981","05","19.0","","5.1","E","12.1","E","28.0","","-5.0","","11.3","","0.0","","11.3","","0","",,"",,""
"1981-06","1981","06","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1981-07","1981","07","27.9","","10.9","E","19.4","E","36.0","S","3.0","","42.7","","0.0","","42.7","","0","",,"",,""
"1981-08","1981","08","28.5","E","11.9","","20.2","E","34.0","S","4.0","","38.9","","0.0","","38.9","","0","",,"",,""
"1981-09","1981","09","22.3","","5.4","E","13.9","E","33.0","S","-4.0","","7.0","","0.0","","7.0","","0","",,"",,""
"1981-10","1981","10","10.7","","-1.3","E","4.7","E","27.0","","-12.0","","23.2","","1.5","","24.7","","0","",,"",,""
"1981-11","1981","11","6.0","","-5.9","E","0.1","E","19.5","S","-18.0","","0.0","T","28.0","","28.0","","20","",,"",,""
"1981-12","1981","12","-6.8","","-16.8","E","-11.8","E","5.0","","-38.0","","0.0","T","29.0","","29.0","","","M",,"",,""
"1982-01","1982","01","-16.6","E","-29.3","E","-23.0","E","3.0","S","-40.0","","0.0","","32.0","","32.0","","","M",,"",,""
"1982-02","1982","02","-7.3","","-20.6","E","-14.0","E","7.0","","-36.0","","0.0","","19.0","","19.0","","","M",,"",,""
"1982-03","1982","03","-2.5","E","-11.9","E","-7.2","E","5.0","","-31.0","","1.2","","32.0","","33.2","","","M",,"",,""
"1982-04","1982","04","7.4","E","-4.2","E","1.6","E","24.0","","-21.0","","0.0","T","30.0","","30.0","","0","",,"",,""
"1982-05","1982","05","14.2","","3.4","","8.8","","26.0","","-10.0","","96.3","","6.0","","102.3","","0","",,"",,""
"1982-06","1982","06","22.5","","9.2","","15.9","","31.0","","4.5","","45.0","","0.0","","45.0","","0","",,"",,""
"1982-07","1982","07","25.2","","12.3","","18.8","","30.5","","7.5","","40.0","","0.0","","40.0","","0","",,"",,""
"1982-08","1982","08","25.8","","10.2","","18.0","","33.5","","1.0","","9.0","","0.0","","9.0","","0","",,"",,""
"1982-09","1982","09","19.3","","3.9","E","11.6","E","32.5","","-4.5","","26.3","","0.0","T","26.3","","0","T",,"",,""
"1982-10","1982","10","12.5","","0.0","","6.3","","22.5","","-8.0","","17.5","","2.0","","19.5","","0","",,"",,""
"1982-11","1982","11","0.7","","-11.0","","-5.2","","11.0","","-23.0","","0.0","T","3.0","E","3.0","E","0","",,"",,""
"1982-12","1982","12","-2.8","","-13.4","E","-8.1","E","7.0","","-27.5","","0.0","T","45.0","","45.0","","","M",,"",,""
"1983-01","1983","01","-3.4","E","-12.3","E","-7.9","E","5.0","S","-34.0","","0.0","T","18.0","","18.0","","","M",,"",,""
"1983-02","1983","02","-0.6","E","-9.1","","-4.9","E","10.0","S","-25.0","","0.0","T","8.0","","8.0","","","M",,"",,""
"1983-03","1983","03","0.3","","-5.8","","-2.8","","13.0","","-14.0","","","M","","M","","M","","M",,"",,""
"1983-04","1983","04","10.7","","-2.3","","4.2","","23.0","","-11.0","","14.5","","0.0","T","14.5","","0","",,"",,""
"1983-05","1983","05","16.5","","2.8","","9.7","","30.0","","-4.0","","9.7","","26.0","E","35.7","E","0","",,"",,""
