"Station Name","HORSE LAKE FAWN CREEK"
"Province","BRITISH COLUMBIA"
"Latitude","51.57"
"Longitude","-121.07"
"Elevation","1061.00"
"Climate Identifier","1163596"
"WMO Identifier",""
"TC Identifier",""

"Legend"
"B","More than one occurrence and estimated"
"E","Estimated"
"M","Missing"
"S","More than one occurrence"
"T","Trace"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"

"Date/Time","Year","Month","Mean Max Temp (°C)","Mean Max Temp Flag","Mean Min Temp (°C)","Mean Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Extr Max Temp (°C)","Extr Max Temp Flag","Extr Min Temp (°C)","Extr Min Temp Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow Grnd Last Day (cm)","Snow Grnd Last Day Flag","Dir of Max Gust (10's deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"1987-01","1987","01","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1987-02","1987","02","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1987-03","1987","03","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1987-04","1987","04","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1987-05","1987","05","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1987-06","1987","06","","","","","","","","","","","","M","0.0","","","M","","M",,"",,""
"1987-07","1987","07","","","","","","","","","","","74.8","","0.0","","74.8","","0","",,"",,""
"1987-08","1987","08","","","","","","","","","","","49.6","","0.0","","49.6","","0","",,"",,""
"1987-09","1987","09","","","","","","","","","","","4.6","","0.0","","4.6","","0","",,"",,""
"1987-10","1987","10","","","","","","","","","","","13.9","E","1.0","E","14.9","E","0","",,"",,""
"1987-11","1987","11","","","","","","","","","","","17.0","","16.6","","33.6","","","M",,"",,""
"1987-12","1987","12","","","","","","","","","","","1.2","","32.6","","33.8","","","M",,"",,""
"1988-01","1988","01","","","","","","","","","","","0.0","","18.2","","18.2","","","M",,"",,""
"1988-02","1988","02","","","","","","","","","","","1.6","","31.8","","33.4","","","M",,"",,""
"1988-03","1988","03","","","","","","","","","","","11.2","","17.6","","28.8","","","M",,"",,""
"1988-04","1988","04","","","","","","","","","","","27.1","","5.2","","32.3","","","M",,"",,""
"1988-05","1988","05","","","","","","","","","","","43.2","E","1.0","E","44.2","E","0","",,"",,""
"1988-06","1988","06","","","","","","","","","","","24.1","","0.0","","24.1","","0","",,"",,""
"1988-07","1988","07","","","","","","","","","","","42.2","","0.0","","42.2","","0","",,"",,""
"1988-08","1988","08","","","","","","","","","","","51.7","","0.0","","51.7","","0","",,"",,""
"1988-09","1988","09","","","","","","","","","","","76.1","E","3.6","E","79.7","E","0","",,"",,""
"1988-10","1988","10","","","","","","","","","","","26.9","E","0.6","E","27.5","E","0","",,"",,""
"1988-11","1988","11","","","","","","","","","","","16.4","","12.7","","29.1","","5","",,"",,""
"1988-12","1988","12","","","","","","","","","","","4.0","E","45.6","E","49.6","E","","M",,"",,""
"1989-01","1989","01","","","","","","","","","","","0.0","","22.8","E","22.8","E","26","",,"",,""
"1989-02","1989","02","","","","","","","","","","","0.0","","32.5","","32.5","","","M",,"",,""
"1989-03","1989","03","","","","","","","","","","","0.6","","16.6","E","17.2","E","","M",,"",,""
"1989-04","1989","04","","","","","","","","","","","13.2","","24.4","","37.6","","0","",,"",,""
"1989-05","1989","05","","","","","","","","","","","42.2","","0.0","T","42.2","","0","",,"",,""
"1989-06","1989","06","","","","","","","","","","","65.3","","0.0","","65.3","","0","",,"",,""
"1989-07","1989","07","","","","","","","","","","","45.8","","0.0","","45.8","","0","",,"",,""
"1989-08","1989","08","","","","","","","","","","","119.3","","0.0","","119.3","","0","",,"",,""
"1989-09","1989","09","","","","","","","","","","","11.4","","0.0","","11.4","","0","",,"",,""
"1989-10","1989","10","","","","","","","","","","","38.7","E","1.2","E","39.9","E","0","",,"",,""
"1989-11","1989","11","","","","","","","","","","","43.6","E","35.6","E","79.2","E","","M",,"",,""
"1989-12","1989","12","","","","","","","","","","","0.0","","91.7","E","91.7","E","","M",,"",,""
"1990-01","1990","01","","","","","","","","","","","0.0","","44.8","E","44.8","E","","M",,"",,""
"1990-02","1990","02","","","","","","","","","","","6.6","","12.4","","19.0","","","M",,"",,""
"1990-03","1990","03","","","","","","","","","","","1.8","","5.6","","7.4","","","M",,"",,""
"1990-04","1990","04","","","","","","","","","","","27.7","E","5.9","E","33.6","E","0","",,"",,""
"1990-05","1990","05","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1990-06","1990","06","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1990-07","1990","07","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1990-08","1990","08","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1990-09","1990","09","","","","","","","","","","","8.6","","0.0","","8.6","","0","",,"",,""
"1990-10","1990","10","","","","","","","","","","","28.8","","17.4","","46.2","","","M",,"",,""
"1990-11","1990","11","","","","","","","","","","","5.6","E","39.5","E","45.1","E","","M",,"",,""
"1990-12","1990","12","","","","","","","","","","","0.0","","","M","","M","","M",,"",,""
"1991-01","1991","01","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1991-02","1991","02","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1991-03","1991","03","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1991-04","1991","04","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1991-05","1991","05","","","","","","","","","","","25.7","","0.0","","25.7","","0","",,"",,""
"1991-06","1991","06","","","","","","","","","","","111.9","E","0.5","E","112.4","E","0","",,"",,""
